#OTU ID,BassGCP-20180527-01-nc.blast.blast,BassGCP-20180527-02-nc.blast.blast,BassGCP-20180717-01-nc.blast.blast,BassGCP-20180717-02-nc.blast.blast,CA-EDWD-20180527-01-nc.blast.blast,CA-MANZA-20180527-01-nc.blast.blast,CA-MANZA-20180527-02-nc.blast.blast,CA-MANZA-20180715-01-PCR01-nc.blast.blast,CA-MANZA-20180715-01-PCR02-nc.blast.blast,CA-MANZA-20180715-01-PCR03-nc.blast.blast,CA-MANZA-20180715-01-nc.blast.blast,CA-MANZA-20180715-02-PCR01-nc.blast.blast,CA-MANZA-20180715-02-PCR02-nc.blast.blast,CA-MANZA-20180715-02-PCR03-nc.blast.blast,CA-MANZA-20180715-02-nc.blast.blast,CA-Pig-20180717-01-nc.blast.blast,CA-Pig-20180717-02-nc.blast.blast,Ca-Pig-20180527-01-nc.blast.blast,Ca-Pig-20180527-02-nc.blast.blast,CabinBOR-20180530-01-nc.blast.blast,CabinBOR-20180530-02-nc.blast.blast,CabinBOR-20180714-01-nc.blast.blast,CabinBOR-20180714-02-nc.blast.blast,EN-MES-072018-nc.blast.blast,EN-MES-072518-nc.blast.blast,EN-MJS-090718-nc.blast.blast,EagleGCP-20180527-01-nc.blast.blast,EagleGCP-20180527-02-nc.blast.blast,EagleGCP-20180717-01-PCR01-nc.blast.blast,EagleGCP-20180717-01-PCR02-nc.blast.blast,EagleGCP-20180717-01-PCR03-nc.blast.blast,EagleGCP-20180717-01-nc.blast.blast,EagleGCP-20180717-02-PCR01-nc.blast.blast,EagleGCP-20180717-02-PCR02-nc.blast.blast,EagleGCP-20180717-02-PCR03-nc.blast.blast,EagleGCP-20180717-02-nc.blast.blast,GlorGCP-20180527-01-nc.blast.blast,GlorGCP-20180527-02-nc.blast.blast,GlorGCP-20180715-01-nc.blast.blast,GlorGCP-20180715-02-nc.blast.blast,GrampsBOR-20180601-01-nc.blast.blast,GrampsBOR-20180601-02-nc.blast.blast,GrampsBOR-20180714-01-PCR01-nc.blast.blast,GrampsBOR-20180714-01-PCR02-nc.blast.blast,GrampsBOR-20180714-01-PCR03-nc.blast.blast,GrampsBOR-20180714-01-nc.blast.blast,GrampsBOR-20180714-02-PCR01-nc.blast.blast,GrampsBOR-20180714-02-PCR02-nc.blast.blast,GrampsBOR-20180714-02-PCR03-nc.blast.blast,GrampsBOR-20180714-02-nc.blast.blast,HeronGCP-20180527-01-nc.blast.blast,HeronGCP-20180527-02-nc.blast.blast,HeronGCP-20180717-01-nc.blast.blast,HeronGCP-20180717-02-nc.blast.blast,KAMM-20180527-01-nc.blast.blast,KAMM-20180527-02-nc.blast.blast,KAMM-20180714-01-nc.blast.blast,KAMM-20180714-02-nc.blast.blast,NegCtrl-20180525-03-nc.blast.blast,NegCtrl-20180527-01-nc.blast.blast,NegCtrl-20180527-02-nc.blast.blast,NegCtrl-20180601-01-nc.blast.blast,NegCtrl-20180714-01-nc.blast.blast,NegCtrl-20180715-01-nc.blast.blast,NegCtrl-20180717-01-nc.blast.blast,NorthGCP-20180527-01-nc.blast.blast,NorthGCP-20180527-02-nc.blast.blast,NorthGCP-20180715-01-nc.blast.blast,NorthGCP-20180715-02-nc.blast.blast,NtalkGCP-20180527-01-nc.blast.blast,NtalkGCP-20180527-02-nc.blast.blast,NtalkGCP-20180715-01-nc.blast.blast,PPKBOR-20180601-01-nc.blast.blast,PPKBOR-20180601-02-nc.blast.blast,PPKBOR-20180714-01-nc.blast.blast,PPKBOR-20180714-02-nc.blast.blast,PPKBOR-20180714-03-nc.blast.blast,Plate01-PCR-Negative-PCR01-nc.blast.blast,Plate01-PCR-Negative-PCR02-nc.blast.blast,Plate01-PCR-Negative-PCR03-nc.blast.blast,Plate01-PCR-Positive-PCR01-nc.blast.blast,Plate01-PCR-Positive-PCR02-nc.blast.blast,Plate01-PCR-Positive-PCR03-nc.blast.blast,Plate04-PCR-Negative-nc.blast.blast,Plate04-PCR-Positive-nc.blast.blast,Plate05-PCR-Positive-nc.blast.blast,Plate06-PCR-Negative-nc.blast.blast,Plate06-PCR-Positive-nc.blast.blast,Plate07-PCR-Negative-nc.blast.blast,Plate07-PCR-Positive-nc.blast.blast,Plate08-PCR-Positive-nc.blast.blast,RLSNKGCP-20180527-01-nc.blast.blast,RLSNKGCP-20180527-02-nc.blast.blast,RLSNKGCP-20180715-01-nc.blast.blast,RLSNKGCP-20180715-02-nc.blast.blast,RonJRGCP-20180527-01-nc.blast.blast,RonJRGCP-20180527-02-nc.blast.blast,RonJRGCP-20180716-01-PCR01-nc.blast.blast,RonJRGCP-20180716-01-PCR02-nc.blast.blast,RonJRGCP-20180716-01-PCR03-nc.blast.blast,RonJRGCP-20180716-01-nc.blast.blast,RonJRGCP-20180716-02-PCR01-nc.blast.blast,RonJRGCP-20180716-02-PCR02-nc.blast.blast,RonJRGCP-20180716-02-PCR03-nc.blast.blast,RonJRGCP-20180716-02-nc.blast.blast,ShptlGCP-20180527-01-nc.blast.blast,ShptlGCP-20180527-02-nc.blast.blast,ShptlGCP-20180527-03-nc.blast.blast,ShptlGCP-20180715-01-PCR01-nc.blast.blast,ShptlGCP-20180715-01-PCR02-nc.blast.blast,ShptlGCP-20180715-01-PCR03-nc.blast.blast,ShptlGCP-20180715-01-nc.blast.blast,ShptlGCP-20180715-02-PCR01-nc.blast.blast,ShptlGCP-20180715-02-PCR02-nc.blast.blast,ShptlGCP-20180715-02-PCR03-nc.blast.blast,ShptlGCP-20180715-02-nc.blast.blast,UCTBOR-20180601-01-nc.blast.blast,UCTBOR-20180601-02-nc.blast.blast,UCTBOR-20180714-01-nc.blast.blast,UCTBOR-20180714-02-nc.blast.blast,WDMLGCP-20180527-01-nc.blast.blast,WDMLGCP-20180527-02-nc.blast.blast,WDMLGCP-20180714-01-nc.blast.blast,WDMLGCP-20180714-02-nc.blast.blast,WashGCP-20180525-01-nc.blast.blast,WashGCP-20180525-02-nc.blast.blast,WashGCP-20180714-01-nc.blast.blast,WashGCP-20180714-02-nc.blast.blast,YBBA-20180527-01-nc.blast.blast,YBBA-20180527-02-nc.blast.blast,YBBA-20180715-01-nc.blast.blast,YBBA-20180715-02-nc.blast.blast,taxomomy
s__Pseudanabaena_sp._ABRG5-3,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__Cyanobacteria', 'c__unknown', 'o__Synechococcales', 'f__Pseudanabaenaceae', 'g__Pseudanabaena', 's__Pseudanabaena_sp._ABRG5-3']"
s__Gemmata_obscuriglobus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__Planctomycetes_<phylum>', 'c__Planctomycetia', 'o__Planctomycetales', 'f__Gemmataceae', 'g__Gemmata', 's__Gemmata_obscuriglobus']"
s__uncultured_Verrucomicrobia_bacterium,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__Verrucomicrobia', 'c__unknown', 'o__unknown', 'f__unknown', 'g__unknown', 's__uncultured_Verrucomicrobia_bacterium']"
s__uncultured_Parcubacteria_group_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__unknown', 'c__unknown', 'o__unknown', 'f__unknown', 'g__unknown', 's__uncultured_Parcubacteria_group_bacterium']"
s__uncultured_bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,9,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,124,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,"['sk__Bacteria_<prokaryotes>', 'k__unknown', 'p__unknown', 'c__unknown', 'o__unknown', 'f__unknown', 'g__unknown', 's__uncultured_bacterium']"
s__Scapholeberis_sp._JKC-2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Arthropoda', 'c__Branchiopoda', 'o__Diplostraca', 'f__Daphniidae', 'g__Scapholeberis', 's__Scapholeberis_sp._JKC-2005']"
s__Lepisosteus_platostomus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,255,0,0,0,118,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Actinopteri', 'o__Semionotiformes', 'f__Lepisosteidae', 'g__Lepisosteus', 's__Lepisosteus_platostomus']"
s__Gallus_gallus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17415,35164,33328,10276,0,0,0,0,963,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Aves', 'o__Galliformes', 'f__Phasianidae', 'g__Gallus', 's__Gallus_gallus']"
s__Homo_sapiens,0,0,0,0,0,7378,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,260,0,0,0,0,0,0,0,0,435,0,0,0,0,29,0,2877,7418,1623,4266,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,538,295,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,2066,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,27,"['sk__Eukaryota', 'k__Metazoa', 'p__Chordata', 'c__Mammalia', 'o__Primates', 'f__Hominidae', 'g__Homo', 's__Homo_sapiens']"
s__Heterocapsa_triquetra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['sk__Eukaryota', 'k__unknown', 'p__unknown', 'c__Dinophyceae', 'o__Peridiniales', 'f__Heterocapsaceae', 'g__Heterocapsa', 's__Heterocapsa_triquetra']"
